endTime,artistName,trackName,msPlayed
2022-03-01 13:00,JP Saxe,If the World Was Ending (feat. Julia Michaels),206988
2022-03-01 13:02,Rocketman,Orange Coffee,91467
2022-03-01 13:05,ZAYN,Vibez,4278
2022-03-01 13:05,SAINt JHN,Roses - Imanbek Remix,23402
2022-03-01 13:05,Chord Overstreet,Hold On,198854
2022-03-01 13:05,Billy Joel,Just the Way You Are,2466
2022-03-02 04:51,Prateek Kuhad,Tere Hi Hum,177026
2022-03-02 04:54,Surfaces,Come With Me,209732
2022-03-02 04:55,Conan Gray,Heather,20099
2022-03-02 04:58,DJ Khaled,POPSTAR (feat. Drake),200221
2022-03-02 05:02,Ed Sheeran,Photograph,258986
2022-03-02 05:03,Billy Joel,Just the Way You Are,15208
2022-03-02 05:07,John Legend,All of Me,269560
2022-03-02 05:09,Bazzi,Mine,131064
2022-03-02 05:14,Christina Perri,A Thousand Years,285120
2022-03-02 05:17,Sasha Alex Sloan,Dancing With Your Ghost,99735
2022-03-02 05:21,Sasha Alex Sloan,Dancing With Your Ghost,98172
2022-03-02 05:25,HRVY,Personal,198040
2022-03-02 05:27,Kina,Can We Kiss Forever?,119024
2022-03-02 05:30,Camila Cabello,Cry for Me,189133
2022-03-02 05:33,Royal & the Serpent,overwhelmed,102692
2022-03-02 05:35,Kali Uchis,telepatía,160191
2022-03-02 05:40,Sam Smith,Fire On Fire,246735
2022-03-02 05:42,Taylor Swift,You Need To Calm Down,171360
2022-03-02 05:46,Ashe,Moral of the Story,201083
2022-03-02 05:50,Dua Lipa,Don't Start Now,46602
2022-03-02 10:41,Beyoncé,Crazy In Love - Remix,226400
2022-03-02 10:44,Myles Cameron,Picket Fences,192134
2022-03-02 10:48,Jeremih,Down On Me,228453
2022-03-02 10:52,LANY,ILYSB - STRIPPED,244820
2022-03-02 10:56,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",242983
2022-03-02 10:58,Alicia Keys,If I Ain't Got You,110296
2022-03-02 11:00,PARTYNEXTDOOR,BELIEVE IT,93916
2022-03-02 11:01,TYuS,Between Us (feat. 21 Savage),61729
2022-03-02 11:01,Deep Joshi,Darasal Lofi,13916
2022-03-02 15:39,Surfaces,Come With Me,209732
2022-03-02 15:41,Anuv Jain,Alag Aasmaan (Acoustic),161440
2022-03-02 15:45,Harry Styles,To Be So Lonely,192080
2022-03-02 15:49,Sufjan Stevens,Mystery of Love,248964
2022-03-02 15:52,Prateek Kuhad,Tere Hi Hum,177026
2022-03-02 15:56,Finn,In Luv With U,273059
2022-03-02 15:59,Clairo,Sofia,188386
2022-03-02 16:01,Paul Anka,Put Your Head On My Shoulder,81357
2022-03-02 16:04,Hasan Raheem,Aisay Kaisay,198857
2022-03-02 16:08,Anuv Jain,Gul,217241
2022-03-02 16:13,Sam Ock,Can I Have the Day With You,313404
2022-03-02 16:16,Alec Benjamin,Let Me Down Slowly,169353
2022-03-02 16:25,Tate McRae,One Day,158606
2022-03-02 17:08,Sufjan Stevens,Mystery of Love,5517
2022-03-02 17:08,Taylor Swift,Blank Space,1606
2022-03-02 17:12,Duncan Laurence,Arcade,185146
2022-03-02 17:15,Halsey,Without Me,201660
2022-03-02 17:18,ZAYN,There You Are,190969
2022-03-02 17:19,Billie Eilish,wish you were gay,82880
2022-03-02 17:19,Justin Bieber,As Long As You Love Me,1240
2022-03-02 17:26,Dua Lipa,Physical,92740
2022-03-03 16:08,Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love,720
2022-03-03 16:27,Harry Styles,Watermelon Sugar,1180
2022-03-03 16:28,5 Seconds of Summer,Youngblood,760
2022-03-03 16:28,Why Don't We,8 Letters,716
2022-03-03 20:06,Ikka,In Da Club,95584
2022-03-04 12:36,Ember Island,Umbrella,75832
2022-03-04 12:38,Aditya A,Chaand Baaliyan,1483
2022-03-04 12:38,Aditya A,Chaand Baaliyan,350
2022-03-04 12:38,Ikka,In Da Club,90945
2022-03-04 12:40,Aditya A,Chaand Baaliyan,101932
2022-03-04 12:44,Prateek Kuhad,Kasoor,197320
2022-03-04 12:47,Anuv Jain,Gul,216996
2022-03-04 12:52,Atif Aslam,"Darasal (From ""Raabta"")",274227
2022-03-04 12:56,Kavita Seth,Rangi Saari,213780
2022-03-04 12:57,Hasan Raheem,Aisay Kaisay,68923
2022-03-04 12:58,Namita Choudhary,Chaap Tilak,75588
2022-03-04 12:58,Prateek Kuhad,Tere Hi Hum,5684
2022-03-04 13:02,Anuv Jain,Baarishein,207114
2022-03-04 13:02,King,Tu Aake Dekhle,4296
2022-03-04 13:05,Vismay Patel,Dariya,215943
2022-03-05 04:21,One Direction,They Don't Know About Us,200400
2022-03-05 04:24,Clinton Kane,I GUESS I'M IN LOVE,170235
2022-03-05 04:27,girl in red,we fell in love in october,184153
2022-03-05 04:30,Alec Benjamin,Water Fountain,218893
2022-03-05 04:33,Absofacto,Dissolve - acoustic,156357
2022-03-05 04:38,Clairo,Sofia,49983
2022-03-05 06:35,Joji,SLOW DANCING IN THE DARK,0
2022-03-05 06:36,Mabel,Mad Love,54216
2022-03-05 06:39,Daya,Hide Away,192386
2022-03-05 06:42,Michele Morrone,Watch Me Burn,186013
2022-03-05 06:45,Bazzi,Why,101440
2022-03-05 09:54,Vayu,Baatein Karo,132771
2022-03-05 09:55,Ariana Grande,just like magic,86908
2022-03-05 09:56,Ariana Grande,just like magic,63051
2022-03-05 10:00,Billie Eilish,my future,209961
2022-03-05 11:59,Bailey Bryan,Dark In The Morning,50810
2022-03-05 11:59,Billie Eilish,my future,4606
2022-03-05 12:00,Dan + Shay,"10,000 Hours (with Justin Bieber)",69301
2022-03-05 12:05,Ben Lee,Rise Up,265210
2022-03-05 12:09,Taylor Swift,peace,233753
2022-03-05 12:30,Hayden Everett,Loud,322764
2022-03-05 12:47,Andrew & Veda,Alive,266360
2022-03-05 12:51,Gabrielle Aplin,Home,5504
2022-03-05 12:51,Benjamin Francis Leftwich,Stole You Away,217460
2022-03-05 12:54,Peter Bradley Adams,My Arms Were Always Around You,198848
2022-03-05 13:04,Wild Rivers,Heart Attack,258781
2022-03-05 13:07,Zach Winters,To Have You Around,4291
2022-03-05 13:07,Daniel Ahearn,Wanted to Be Loved - Acoustic,186642
2022-03-05 13:12,Fractures,Sculptures,288473
2022-03-06 10:36,Donovan Woods,"Portland, Maine",8102
2022-03-06 10:40,Susie Suh,I Do,212017
2022-03-06 10:40,Charlie Cunningham,Lights Off,56750
2022-03-06 10:41,Robby Hecht,Parallel Lines (Live Acoustic),5297
2022-03-06 10:44,Old Sea Brigade,Love Brought Weight,185746
2022-03-06 10:47,I Am Oak,Woandering,224687
2022-03-06 10:49,Ed Sheeran,Shape of You,0
2022-03-06 10:49,Kygo,It Ain't Me (with Selena Gomez),0
2022-03-06 10:49,Sasha Alex Sloan,Dancing With Your Ghost,0
2022-03-06 10:49,FINNEAS,Let's Fall in Love for the Night,2414
2022-03-06 10:49,Ray LaMontagne,Jolene,101642
2022-03-06 10:49,El Profesor,Bella Ciao [HUGEL Remix],0
2022-03-06 10:49,Camila Cabello,Shameless,0
2022-03-06 10:53,One Direction,What Makes You Beautiful,199986
2022-03-06 10:57,Glass Animals,Heat Waves,238805
2022-03-06 11:01,Sam Smith,Dancing With A Stranger (with Normani),171029
2022-03-06 11:02,New Rules,Pasta,88435
2022-03-07 14:33,Bailey Bryan,Dark In The Morning,134465
2022-03-07 14:33,Donovan Woods,"Portland, Maine",140876
2022-03-07 14:34,New Rules,Pasta,89128
2022-03-07 14:34,Justin Bieber,Love Yourself,3143
2022-03-07 14:48,Briston Maroney,Freakin' Out On the Interstate,282048
2022-03-07 14:51,MARINA,Bubblegum Bitch,154106
2022-03-07 14:51,New West,Next To You,5504
2022-03-07 14:54,Lizzy McAlpine,To the Mountains,193737
2022-03-07 15:00,Max Leone,untitled,134615
2022-03-07 15:04,Montell Fish,Call U Tomorrow,186623
2022-03-07 15:05,The Backseat Lovers,Kilby Girl,55129
2022-03-07 18:16,Conan Gray,Jigsaw,208969
2022-03-07 18:20,Roar,I Can't Handle Change,198213
2022-03-07 18:23,Neon Trees,Everybody Talks,177280
2022-03-07 18:25,Jack Gray,I Got 3,48677
2022-03-08 13:26,Rook Monroe,Honey,148695
2022-03-08 13:31,The 1975,Robbers,254509
2022-03-08 13:35,AJR,The Good Part,227266
2022-03-08 13:38,Tal Bachman,She's so High,75534
2022-03-08 16:32,John Vincent III,Next to You,30232
2022-03-08 16:35,Tal Bachman,She's so High,150443
2022-03-08 18:04,Delacey,The Subway Song,86473
2022-03-08 18:07,Cigarettes After Sex,Falling In Love,42020
2022-03-09 06:59,Conan Gray,People Watching,35513
2022-03-09 07:01,Paravi,Cloud 9,141924
2022-03-09 07:03,mehro,perfume,149641
2022-03-09 07:07,Clinton Kane,I GUESS I'M IN LOVE,204088
2022-03-09 07:07,Ruel,Painkiller,5504
2022-03-09 07:09,Peachy!,Falling for U,123838
2022-03-09 07:19,Jeremy Zucker,comethru,180339
2022-03-09 15:51,Bazzi,I.F.L.Y.,1214
2022-03-10 14:52,Harry Styles,To Be So Lonely,35796
2022-03-10 14:52,Prateek Kuhad,Pause,3120
2022-03-10 14:52,Finn,In Luv With U,7863
2022-03-10 14:55,Clairo,Sofia,188386
2022-03-10 14:59,Shiloh Dynasty,Pure Imagination,65753
2022-03-11 04:15,Ed Sheeran,Perfect,263400
2022-03-12 03:55,Tate McRae,One Day,10423
2022-03-12 03:55,Luke Chiang,Shouldn't Be,116280
2022-03-12 03:56,Prateek Kuhad,Tere Hi Hum,10802
2022-03-12 03:58,Rex Orange County,Loving Is Easy (feat. Benny Sings),155720
2022-03-12 04:01,Sofia Mills,Coffee Breath,163902
2022-03-12 04:04,Tai Verdes,Stuck In The Middle,196133
2022-03-12 04:06,Calum Scott,You Are The Reason,91800
2022-03-12 04:06,Calum Scott,You Are The Reason,8101
2022-03-12 04:11,Finn,In Luv With U,273012
2022-03-12 04:12,Rex Orange County,Best Friend,5504
2022-03-12 04:12,Daniela Andrade,La Vie En Rose,105370
2022-03-12 04:16,Peach Tree Rascals,Mariposa,209812
2022-03-12 04:23,Jullian,Buttercup,165472
2022-03-12 04:26,Ruth B.,Dandelions,183964
2022-03-12 05:41,Anuv Jain,Gul,217037
2022-03-12 05:44,Sam Ock,Can I Have the Day With You,5504
