,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Too Good At Goodbyes___Sam Smith,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4,The Thrill Of It All (Special Edition),3TJz2UBNYJtlEly0sPeNrQ
Mastermind___Taylor Swift,0.662,0.357,4,-14.064,1,0.154,0.553,0.00129,0.0837,0.124,125.966,audio_features,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,https://api.spotify.com/v1/tracks/7FmYn9e7KHMXcxqGSj9LjH,https://api.spotify.com/v1/audio-analysis/7FmYn9e7KHMXcxqGSj9LjH,191039,4,Midnights,151w1FgRZfnKZA9FEcg9Z3
Lavender Haze___Taylor Swift,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,audio_features,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396,4,Midnights,151w1FgRZfnKZA9FEcg9Z3
Overdrive___Conan Gray,0.568,0.788,5,-6.28,1,0.0377,0.0101,0,0.141,0.46,104.959,audio_features,3QyoC6OvQUmpQwQZ18iaTs,spotify:track:3QyoC6OvQUmpQwQZ18iaTs,https://api.spotify.com/v1/tracks/3QyoC6OvQUmpQwQZ18iaTs,https://api.spotify.com/v1/audio-analysis/3QyoC6OvQUmpQwQZ18iaTs,183070,4,Overdrive,0DvIDMUOMaaVbXfDVt8jZS
Perfectly Imperfect___Declan J Donovan,0.698,0.367,2,-5.811,1,0.0329,0.649,0,0.119,0.246,104.853,audio_features,6TbkMxKZudkP6Sty7rkLU9,spotify:track:6TbkMxKZudkP6Sty7rkLU9,https://api.spotify.com/v1/tracks/6TbkMxKZudkP6Sty7rkLU9,https://api.spotify.com/v1/audio-analysis/6TbkMxKZudkP6Sty7rkLU9,204309,3,Perfectly Imperfect,6YYdaF74fciAagw5BpJ6Qy
Crazy In Love - Remix___Beyoncé,0.23,0.694,7,-6.828,0,0.109,0.0619,0.00191,0.112,0.26,172.751,audio_features,2f4IuijXLxYOeBncS60GUD,spotify:track:2f4IuijXLxYOeBncS60GUD,https://api.spotify.com/v1/tracks/2f4IuijXLxYOeBncS60GUD,https://api.spotify.com/v1/audio-analysis/2f4IuijXLxYOeBncS60GUD,226400,3,Crazy In Love (Remix),1JSCfr9YFx7SAP8sAYS5vx
Astronomy___Conan Gray,0.471,0.335,4,-8.767,0,0.0273,0.593,2.11e-05,0.297,0.111,145.252,audio_features,0KmgJyW4GDgonqsoyx0CZ3,spotify:track:0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/tracks/0KmgJyW4GDgonqsoyx0CZ3,https://api.spotify.com/v1/audio-analysis/0KmgJyW4GDgonqsoyx0CZ3,243907,3,Astronomy,4vs2JiaS6RjyxMcl0MvxLk
Devil In A Dress___Rhea Raj,0.59,0.527,11,-6.366,0,0.181,0.0555,2.58e-05,0.0794,0.249,180.009,audio_features,0IidWnhWbmVcVa5vzXucav,spotify:track:0IidWnhWbmVcVa5vzXucav,https://api.spotify.com/v1/tracks/0IidWnhWbmVcVa5vzXucav,https://api.spotify.com/v1/audio-analysis/0IidWnhWbmVcVa5vzXucav,111467,4,Devil In A Dress,6ViBFxxd5c6e1WUCDbRMAk
all the kids are depressed___Jeremy Zucker,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,audio_features,75ls0gurX68lUmMjE7QcsE,spotify:track:75ls0gurX68lUmMjE7QcsE,https://api.spotify.com/v1/tracks/75ls0gurX68lUmMjE7QcsE,https://api.spotify.com/v1/audio-analysis/75ls0gurX68lUmMjE7QcsE,169973,4,glisten,14lSyFVCuhvEoW7ogOIzD0
Rubaaiyaan___Amit Trivedi,0.616,0.43,4,-7.563,0,0.0277,0.728,0,0.151,0.484,98.005,audio_features,0ceF2OyfoVe8IQeFcBXZg2,spotify:track:0ceF2OyfoVe8IQeFcBXZg2,https://api.spotify.com/v1/tracks/0ceF2OyfoVe8IQeFcBXZg2,https://api.spotify.com/v1/audio-analysis/0ceF2OyfoVe8IQeFcBXZg2,253316,4,Qala (Music From The Netflix Film),3yVX4sKtPoqFjBKOVyJenW
