,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Bored___Billie Eilish,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,audio_features,04sN26COy28wTXYj3dMoiZ,spotify:track:04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/tracks/04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933,4,Bored,4iyJ8i3eKbez8JXDbsHIdZ
Let Your Hair Down___MAGIC!,0.649,0.592,10,-6.924,1,0.0497,0.0934,0.000529,0.182,0.466,148.01,audio_features,0uQSHrFDVtbQyxNFCwm1EC,spotify:track:0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/tracks/0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/audio-analysis/0uQSHrFDVtbQyxNFCwm1EC,265693,4,Don't Kill the Magic,0RZ4Ct4vegYBmL9g88TBNi
Moral of the Story___Ashe,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,audio_features,2nC3QhMI9reBIOWutbU3Tj,spotify:track:2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/tracks/2nC3QhMI9reBIOWutbU3Tj,https://api.spotify.com/v1/audio-analysis/2nC3QhMI9reBIOWutbU3Tj,201084,4,Moral of the Story,4yKwChgdGpJzf2nn3nPHfP
Love on the Weekend___Aria Ohlsson,0.564,0.436,1,-8.164,0,0.155,0.554,0,0.0969,0.28,82.652,audio_features,3Fu2kEs21COGTWc3QpJ88w,spotify:track:3Fu2kEs21COGTWc3QpJ88w,https://api.spotify.com/v1/tracks/3Fu2kEs21COGTWc3QpJ88w,https://api.spotify.com/v1/audio-analysis/3Fu2kEs21COGTWc3QpJ88w,153253,4,Love on the Weekend,62syHwYazKmp8ROJIBXJbt
Daylight___Joji,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,audio_features,6Ed1q0X8oSKSm4IIhiQbYg,spotify:track:6Ed1q0X8oSKSm4IIhiQbYg,https://api.spotify.com/v1/tracks/6Ed1q0X8oSKSm4IIhiQbYg,https://api.spotify.com/v1/audio-analysis/6Ed1q0X8oSKSm4IIhiQbYg,163906,4,Daylight,1jcNHi5D96aaD0T5f1OjFY
Main Rahoon Ya Na Rahoon___Amaal Mallik,0.55,0.488,6,-8.059,1,0.0284,0.718,0.000118,0.126,0.301,136.025,audio_features,6f3ANRNQ8nCiPZ6VqXqq93,spotify:track:6f3ANRNQ8nCiPZ6VqXqq93,https://api.spotify.com/v1/tracks/6f3ANRNQ8nCiPZ6VqXqq93,https://api.spotify.com/v1/audio-analysis/6f3ANRNQ8nCiPZ6VqXqq93,309458,3,Main Rahoon Ya Na Rahoon,2hlpZpzFRp0SxM8Fk50dsp
Swim___Chase Atlantic,0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,audio_features,3M0lSi5WW79CXQamgSBIjx,spotify:track:3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/tracks/3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/audio-analysis/3M0lSi5WW79CXQamgSBIjx,228787,4,Chase Atlantic,7C8uqokvE67UOlu1TiEYMd
Love Me Harder___Ariana Grande,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,audio_features,5J4ZkQpzMUFojo1CtAZYpn,spotify:track:5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/tracks/5J4ZkQpzMUFojo1CtAZYpn,https://api.spotify.com/v1/audio-analysis/5J4ZkQpzMUFojo1CtAZYpn,236133,4,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj
Lost___Dj NoFace,0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,audio_features,373gDROnujxNTFa1FojYIl,spotify:track:373gDROnujxNTFa1FojYIl,https://api.spotify.com/v1/tracks/373gDROnujxNTFa1FojYIl,https://api.spotify.com/v1/audio-analysis/373gDROnujxNTFa1FojYIl,199342,4,Lost,7bN4OM5mtWq0UrAxdN6qMC
Goodbyes (feat. Young Thug)___Post Malone,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,audio_features,0t3ZvGKlmYmVsDzBJAXK8C,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,174853,4,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi
saffron___halfv,0.574,0.341,1,-12.128,1,0.0468,0.901,0.932,0.128,0.579,150.033,audio_features,1rac3Jn0FNPe9VknXZDWZk,spotify:track:1rac3Jn0FNPe9VknXZDWZk,https://api.spotify.com/v1/tracks/1rac3Jn0FNPe9VknXZDWZk,https://api.spotify.com/v1/audio-analysis/1rac3Jn0FNPe9VknXZDWZk,77400,3,saffron,1M0SfN1MyqyCak13jImMKq
Mat Jao Na___Abhash Jha,0.579,0.231,9,-13.54,1,0.0298,0.924,0.000139,0.0795,0.263,129.972,audio_features,3OtGr6T3YrGNyCQsJaRSlV,spotify:track:3OtGr6T3YrGNyCQsJaRSlV,https://api.spotify.com/v1/tracks/3OtGr6T3YrGNyCQsJaRSlV,https://api.spotify.com/v1/audio-analysis/3OtGr6T3YrGNyCQsJaRSlV,315731,3,Mat Jao Na,4NB1woN5l1NAva0cJAIJiG
Between Us (feat. 21 Savage)___TYuS,0.673,0.554,1,-7.071,1,0.0641,0.523,0,0.0998,0.0774,110.889,audio_features,1Bh0ORYmPetXrGZjV9T8Fa,spotify:track:1Bh0ORYmPetXrGZjV9T8Fa,https://api.spotify.com/v1/tracks/1Bh0ORYmPetXrGZjV9T8Fa,https://api.spotify.com/v1/audio-analysis/1Bh0ORYmPetXrGZjV9T8Fa,263192,4,Between Us (feat. 21 Savage),35moJEOzWNHsUjtOBH1Ovn
Through the Dark___One Direction,0.568,0.691,9,-5.225,1,0.0306,0.188,0,0.0861,0.396,131.007,audio_features,1a0PcmEJAOEp4ZT3YtSLkM,spotify:track:1a0PcmEJAOEp4ZT3YtSLkM,https://api.spotify.com/v1/tracks/1a0PcmEJAOEp4ZT3YtSLkM,https://api.spotify.com/v1/audio-analysis/1a0PcmEJAOEp4ZT3YtSLkM,221733,4,Midnight Memories (Deluxe),7p1fX8aUySrBdx4WSYspOu
Sun Lo Na___Suzonn,0.856,0.178,1,-15.241,1,0.0464,0.748,0.00593,0.0937,0.632,130.089,audio_features,6SWsSQnuTOyE6DOJG7Zdi4,spotify:track:6SWsSQnuTOyE6DOJG7Zdi4,https://api.spotify.com/v1/tracks/6SWsSQnuTOyE6DOJG7Zdi4,https://api.spotify.com/v1/audio-analysis/6SWsSQnuTOyE6DOJG7Zdi4,174467,3,Sun Lo Na (Raw),7a8T0I1HT997IRasqIXwcL
Payphone___Maroon 5,0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,audio_features,1XGmzt0PVuFgQYYnV2It7A,spotify:track:1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/audio-analysis/1XGmzt0PVuFgQYYnV2It7A,231173,4,Overexposed Track By Track,6ijGiBcBfUwkoyHn5VUHU2
no tears left to cry___Ariana Grande,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,audio_features,2qT1uLXPVPzGgFOx4jtEuo,spotify:track:2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/tracks/2qT1uLXPVPzGgFOx4jtEuo,https://api.spotify.com/v1/audio-analysis/2qT1uLXPVPzGgFOx4jtEuo,205920,4,Sweetener,3tx8gQqWbGwqIGZHqDNrGe
Payroll (feat. Kranium)___RIKA,0.525,0.729,9,-5.203,0,0.0446,0.0043,0,0.344,0.682,159.052,audio_features,2ytAN9KDbnGJzvxVKxavj3,spotify:track:2ytAN9KDbnGJzvxVKxavj3,https://api.spotify.com/v1/tracks/2ytAN9KDbnGJzvxVKxavj3,https://api.spotify.com/v1/audio-analysis/2ytAN9KDbnGJzvxVKxavj3,198057,4,Payroll (feat. Kranium),57KFwudo6c2bMygNnxRlGn
lovely (with Khalid)___Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4,lovely (with Khalid),2sBB17RXTamvj7Ncps15AK
ROXANNE___Arizona Zervas,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636,5,ROXANNE,6HJDrXs0hpebaRFKA1sF90
Stereo Hearts___Gym Class Heroes,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,audio_features,0qOnSQQF0yzuPWsXrQ9paz,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/tracks/0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/audio-analysis/0qOnSQQF0yzuPWsXrQ9paz,210960,4,The Papercut Chronicles II,2mumCpGmuE9iDeOvMx6XrB
Love Me___RealestK,0.569,0.325,7,-9.66,0,0.0376,0.67,0,0.141,0.274,122.051,audio_features,4qgMPzf9QOETWQFUcFkHD4,spotify:track:4qgMPzf9QOETWQFUcFkHD4,https://api.spotify.com/v1/tracks/4qgMPzf9QOETWQFUcFkHD4,https://api.spotify.com/v1/audio-analysis/4qgMPzf9QOETWQFUcFkHD4,207547,3,Love Me,7hgekZLPc8OHgk8kAaPkel
Dholna - Crossblade Live Version___B Praak,0.723,0.717,2,-4.544,1,0.0305,0.108,0,0.0815,0.827,121.996,audio_features,6zZSuxD7YM540tLxnFxZ43,spotify:track:6zZSuxD7YM540tLxnFxZ43,https://api.spotify.com/v1/tracks/6zZSuxD7YM540tLxnFxZ43,https://api.spotify.com/v1/audio-analysis/6zZSuxD7YM540tLxnFxZ43,250820,4,B Praak His Highness,0B9YgoJnc0Jsd15jaXMv3D
Wasabi___Little Mix,0.847,0.656,2,-4.976,1,0.115,0.00451,0.000854,0.143,0.234,114.001,audio_features,7IOuCLt770D8v0u3SVaDeI,spotify:track:7IOuCLt770D8v0u3SVaDeI,https://api.spotify.com/v1/tracks/7IOuCLt770D8v0u3SVaDeI,https://api.spotify.com/v1/audio-analysis/7IOuCLt770D8v0u3SVaDeI,154787,4,LM5 (Deluxe),7Ho8gAx4haSxv1eFLQwvTj
Nervous___John Legend,0.545,0.587,2,-4.842,1,0.0634,0.414,0,0.224,0.359,123.107,audio_features,1XNAH3h63O1hWFcgyHGbjf,spotify:track:1XNAH3h63O1hWFcgyHGbjf,https://api.spotify.com/v1/tracks/1XNAH3h63O1hWFcgyHGbjf,https://api.spotify.com/v1/audio-analysis/1XNAH3h63O1hWFcgyHGbjf,188046,4,LEGEND,48XBEHGNh0oVF5foY3ZtvT
squares___Cavetown,0.641,0.154,0,-16.087,1,0.034,0.894,0.229,0.101,0.0396,130.056,audio_features,0byJI4UB0ibHxUVz5Fz5Ne,spotify:track:0byJI4UB0ibHxUVz5Fz5Ne,https://api.spotify.com/v1/tracks/0byJI4UB0ibHxUVz5Fz5Ne,https://api.spotify.com/v1/audio-analysis/0byJI4UB0ibHxUVz5Fz5Ne,267031,4,squares / y 13,1TszPNUGDtDdfgg1SPDPH6
Con La Brisa - Film Version___Foudeqush,0.556,0.211,2,-16.904,0,0.0357,0.548,0.221,0.121,0.136,113.929,audio_features,2vthaS3SkgTfe5vrpVgITG,spotify:track:2vthaS3SkgTfe5vrpVgITG,https://api.spotify.com/v1/tracks/2vthaS3SkgTfe5vrpVgITG,https://api.spotify.com/v1/audio-analysis/2vthaS3SkgTfe5vrpVgITG,160227,4,Black Panther: Wakanda Forever (Original Score),2lPz7qiqG7TfvKr3S1Lv6p
Melt___New Body Electric,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,audio_features,2kSb3wYSOV996xA2NSmpck,spotify:track:2kSb3wYSOV996xA2NSmpck,https://api.spotify.com/v1/tracks/2kSb3wYSOV996xA2NSmpck,https://api.spotify.com/v1/audio-analysis/2kSb3wYSOV996xA2NSmpck,208854,4,Por Vida,6f5gAJpM85TE6aQ81h46T5
Feel It___Michele Morrone,0.651,0.369,1,-9.301,0,0.045,0.142,0.00308,0.128,0.372,155.014,audio_features,1sntdOU6b9fMuUOm3NPIuY,spotify:track:1sntdOU6b9fMuUOm3NPIuY,https://api.spotify.com/v1/tracks/1sntdOU6b9fMuUOm3NPIuY,https://api.spotify.com/v1/audio-analysis/1sntdOU6b9fMuUOm3NPIuY,159480,3,Dark Room,2H2mViAjX9cdztIS9xOwSh
Ishq Bulaava___Vishal-Shekhar,0.579,0.713,7,-7.334,1,0.0318,0.617,3.33e-05,0.118,0.635,159.915,audio_features,1fkjRQA8wXPPyxqYLbxuqy,spotify:track:1fkjRQA8wXPPyxqYLbxuqy,https://api.spotify.com/v1/tracks/1fkjRQA8wXPPyxqYLbxuqy,https://api.spotify.com/v1/audio-analysis/1fkjRQA8wXPPyxqYLbxuqy,303640,3,,
Never Grow Up___Taylor Swift,0.715,0.308,2,-8.829,1,0.0305,0.829,0,0.16,0.547,124.899,audio_features,3JilapcaOXzjR9gtvCY8FO,spotify:track:3JilapcaOXzjR9gtvCY8FO,https://api.spotify.com/v1/tracks/3JilapcaOXzjR9gtvCY8FO,https://api.spotify.com/v1/audio-analysis/3JilapcaOXzjR9gtvCY8FO,290480,4,Speak Now,6Ar2o9KCqcyYF9J0aQP3au
telepatía___Kali Uchis,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,audio_features,6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,160191,4,Sin Miedo (del Amor y Otros Demonios) ∞,00wSTrFxoSzA7eeS1UxHgd
"Raataan Lambiyan (From ""Shershaah"")___Tanishk Bagchi",0.72,0.63,10,-5.549,1,0.0413,0.615,0,0.108,0.512,81.009,audio_features,2rOnSn2piaqLAlYjtfUBlY,spotify:track:2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/tracks/2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,230292,4,"Raataan Lambiyan (From ""Shershaah"")",2DKSZvMj7Da6rzNVPMgREj
Harleys In Hawaii___Katy Perry,0.722,0.757,10,-6.207,0,0.132,0.185,6.32e-06,0.126,0.721,140.094,audio_features,5nCthAh3jt4xKuLJAifAaR,spotify:track:5nCthAh3jt4xKuLJAifAaR,https://api.spotify.com/v1/tracks/5nCthAh3jt4xKuLJAifAaR,https://api.spotify.com/v1/audio-analysis/5nCthAh3jt4xKuLJAifAaR,185815,4,Harleys In Hawaii,30UjBkRwwBeCdspCGPBB8V
Riptide___VAX,0.484,0.18,6,-11.075,1,0.0417,0.795,0,0.266,0.257,76.969,audio_features,1OEN5wnzICsfdDOGbwaAdb,spotify:track:1OEN5wnzICsfdDOGbwaAdb,https://api.spotify.com/v1/tracks/1OEN5wnzICsfdDOGbwaAdb,https://api.spotify.com/v1/audio-analysis/1OEN5wnzICsfdDOGbwaAdb,137130,1,Riptide,57Nh71vBAHuVA71W6jbn2b
if we never met___John K,0.958,0.376,8,-7.063,1,0.0523,0.171,0,0.127,0.331,107.964,audio_features,5HBDBBr5OV90lubqW8ctJF,spotify:track:5HBDBBr5OV90lubqW8ctJF,https://api.spotify.com/v1/tracks/5HBDBBr5OV90lubqW8ctJF,https://api.spotify.com/v1/audio-analysis/5HBDBBr5OV90lubqW8ctJF,144427,4,if we never met,2KfDGvN1Q2CkL5yYWeSglg
Nothing's the Same___Alexander 23,0.736,0.308,11,-11.543,1,0.0421,0.492,0.00248,0.179,0.439,132.767,audio_features,3vSLSOhE8HWBC2WiN0j0hD,spotify:track:3vSLSOhE8HWBC2WiN0j0hD,https://api.spotify.com/v1/tracks/3vSLSOhE8HWBC2WiN0j0hD,https://api.spotify.com/v1/audio-analysis/3vSLSOhE8HWBC2WiN0j0hD,175135,4,"Oh No, Not Again! - EP",3Z87Kdyjc5IC7BidBOFnUd
full stop___Jeremy Zucker,0.387,0.295,4,-9.444,1,0.0354,0.852,0.00013,0.0928,0.138,133.647,audio_features,0bWcT3zU9v9RBAC5gUN7DP,spotify:track:0bWcT3zU9v9RBAC5gUN7DP,https://api.spotify.com/v1/tracks/0bWcT3zU9v9RBAC5gUN7DP,https://api.spotify.com/v1/audio-analysis/0bWcT3zU9v9RBAC5gUN7DP,239533,4,love is not dying,5mkf4N44kdEwYgaOk3hRLF
Y U Gotta B Like That___Audrey Mika,0.732,0.413,9,-6.353,1,0.0702,0.287,0,0.0565,0.761,92.066,audio_features,45StvejYUdIsyUwqdZ7iJM,spotify:track:45StvejYUdIsyUwqdZ7iJM,https://api.spotify.com/v1/tracks/45StvejYUdIsyUwqdZ7iJM,https://api.spotify.com/v1/audio-analysis/45StvejYUdIsyUwqdZ7iJM,154456,4,Y U Gotta B Like That,7ErSfjONTrLqmvrJanrtcK
Star Shopping___Lil Peep,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,audio_features,6Ox1rvlwEpB49drasQm6RF,spotify:track:6Ox1rvlwEpB49drasQm6RF,https://api.spotify.com/v1/tracks/6Ox1rvlwEpB49drasQm6RF,https://api.spotify.com/v1/audio-analysis/6Ox1rvlwEpB49drasQm6RF,142000,4,Star Shopping,48dH5WaD1L379zPQt6LMDD
Your Power___Billie Eilish,0.632,0.284,9,-14.025,0,0.0801,0.932,0.000476,0.233,0.208,129.642,audio_features,042Sl6Mn83JHyLEqdK7uI0,spotify:track:042Sl6Mn83JHyLEqdK7uI0,https://api.spotify.com/v1/tracks/042Sl6Mn83JHyLEqdK7uI0,https://api.spotify.com/v1/audio-analysis/042Sl6Mn83JHyLEqdK7uI0,245897,4,Happier Than Ever,0JGOiO34nwfUdDrD612dOp
NO LOVE___Shubh,0.768,0.487,4,-8.936,0,0.0431,0.24,0,0.175,0.722,137.034,audio_features,08Isz2ETWSBhvIl8UpKYsp,spotify:track:08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/tracks/08Isz2ETWSBhvIl8UpKYsp,https://api.spotify.com/v1/audio-analysis/08Isz2ETWSBhvIl8UpKYsp,170388,4,No Love,5Zcgog7sQ79ISF32y9nABU
Árboles Bajo El Mar___Vivir Quintana,0.678,0.385,6,-8.343,0,0.0389,0.783,0.00112,0.0982,0.0577,92.161,audio_features,5UaiWpx39E60GAsoAtICoV,spotify:track:5UaiWpx39E60GAsoAtICoV,https://api.spotify.com/v1/tracks/5UaiWpx39E60GAsoAtICoV,https://api.spotify.com/v1/audio-analysis/5UaiWpx39E60GAsoAtICoV,261787,3,Black Panther: Wakanda Forever - Music From and Inspired By,06RK0wX4GqHcxBtHlVoGH5
After Hours___The Weeknd,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,audio_features,2p8IUWQDrpjuFltbdgLOag,spotify:track:2p8IUWQDrpjuFltbdgLOag,https://api.spotify.com/v1/tracks/2p8IUWQDrpjuFltbdgLOag,https://api.spotify.com/v1/audio-analysis/2p8IUWQDrpjuFltbdgLOag,361027,4,After Hours,4yP0hdKOZPNshxUOjY0cZj
everytime___Ariana Grande,0.71,0.614,10,-6.757,0,0.0431,0.186,0,0.0974,0.658,148.152,audio_features,0WdR2AyLW1Drd3OUdwezM0,spotify:track:0WdR2AyLW1Drd3OUdwezM0,https://api.spotify.com/v1/tracks/0WdR2AyLW1Drd3OUdwezM0,https://api.spotify.com/v1/audio-analysis/0WdR2AyLW1Drd3OUdwezM0,172107,4,Sweetener,3tx8gQqWbGwqIGZHqDNrGe
505___Arctic Monkeys,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,audio_features,0BxE4FqsDD1Ot4YuBXwAPp,spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/tracks/0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/audio-analysis/0BxE4FqsDD1Ot4YuBXwAPp,253587,4,Favourite Worst Nightmare,1XkGORuUX2QGOEIL4EbJKm
Darling___N i G H T S,0.848,0.596,2,-8.043,0,0.235,0.5,0,0.0853,0.793,150.035,audio_features,2kQ9udZ0v3H8PFSVmbY1Kq,spotify:track:2kQ9udZ0v3H8PFSVmbY1Kq,https://api.spotify.com/v1/tracks/2kQ9udZ0v3H8PFSVmbY1Kq,https://api.spotify.com/v1/audio-analysis/2kQ9udZ0v3H8PFSVmbY1Kq,143200,4,PTSD,4dnKBBeSoiEc39sCqItmWk
Best Friends___The Weeknd,0.737,0.564,4,-7.045,0,0.105,0.436,0,0.351,0.528,90.0,audio_features,1E5Xu8dur0fAjSP1VpVhAZ,spotify:track:1E5Xu8dur0fAjSP1VpVhAZ,https://api.spotify.com/v1/tracks/1E5Xu8dur0fAjSP1VpVhAZ,https://api.spotify.com/v1/audio-analysis/1E5Xu8dur0fAjSP1VpVhAZ,163504,4,Dawn FM,2nLOHgzXzwFEpl62zAgCEC
airplane thoughts___dhruv,0.677,0.454,2,-8.555,0,0.0673,0.83,8.55e-05,0.274,0.273,80.045,audio_features,19nu3H3vjeZ505i450lz8R,spotify:track:19nu3H3vjeZ505i450lz8R,https://api.spotify.com/v1/tracks/19nu3H3vjeZ505i450lz8R,https://api.spotify.com/v1/audio-analysis/19nu3H3vjeZ505i450lz8R,210406,4,airplane thoughts,4VTigV46vPyYJSeGO9NNvl
Blowing Up___KR$NA,0.842,0.776,5,-4.195,1,0.103,0.0898,0,0.215,0.287,99.019,audio_features,3Oh2FwWbnKIAyUE2gToFYu,spotify:track:3Oh2FwWbnKIAyUE2gToFYu,https://api.spotify.com/v1/tracks/3Oh2FwWbnKIAyUE2gToFYu,https://api.spotify.com/v1/audio-analysis/3Oh2FwWbnKIAyUE2gToFYu,247273,4,Blowing Up,0nzNYneCXJhO6OZQLHROri
Low___SZA,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,audio_features,2GAhgAjOhEmItWLfgisyOn,spotify:track:2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/tracks/2GAhgAjOhEmItWLfgisyOn,https://api.spotify.com/v1/audio-analysis/2GAhgAjOhEmItWLfgisyOn,181080,4,SOS,07w0rG5TETcyihsEIZR3qG
Miss You___Oliver Tree,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,audio_features,73vIOb4Q7YN6HeJTbscRx5,spotify:track:73vIOb4Q7YN6HeJTbscRx5,https://api.spotify.com/v1/tracks/73vIOb4Q7YN6HeJTbscRx5,https://api.spotify.com/v1/audio-analysis/73vIOb4Q7YN6HeJTbscRx5,206000,4,Miss You,32G4vFNwLJQjpzkOoGEUUo
Dariya___Vismay Patel,0.62,0.222,4,-15.676,1,0.0353,0.905,0.000809,0.134,0.339,89.94,audio_features,6pvpFQ2jaI6oXAswo3GSUW,spotify:track:6pvpFQ2jaI6oXAswo3GSUW,https://api.spotify.com/v1/tracks/6pvpFQ2jaI6oXAswo3GSUW,https://api.spotify.com/v1/audio-analysis/6pvpFQ2jaI6oXAswo3GSUW,216107,4,Dariya,5waD3IDJagOpwrRfGggHBV
Play with Fire (feat. Yacht Money)___Sam Tinnesz,0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,audio_features,7vguMCv8uVuZLiQJ156u3Z,spotify:track:7vguMCv8uVuZLiQJ156u3Z,https://api.spotify.com/v1/tracks/7vguMCv8uVuZLiQJ156u3Z,https://api.spotify.com/v1/audio-analysis/7vguMCv8uVuZLiQJ156u3Z,180691,4,Play with Fire (feat. Yacht Money),2BS025TrS5OtDzutLrZBWD
Angeleyes___ABBA,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,audio_features,7rWgGyRK7RAqAAXy4bLft9,spotify:track:7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/tracks/7rWgGyRK7RAqAAXy4bLft9,https://api.spotify.com/v1/audio-analysis/7rWgGyRK7RAqAAXy4bLft9,260893,4,Voulez-Vous,7iLuHJkrb9KHPkMgddYigh
August___flipturn,0.52,0.265,6,-12.78,1,0.0316,0.223,0.152,0.113,0.0855,79.819,audio_features,2JXiyD1zucGdFmnTeYb5Ry,spotify:track:2JXiyD1zucGdFmnTeYb5Ry,https://api.spotify.com/v1/tracks/2JXiyD1zucGdFmnTeYb5Ry,https://api.spotify.com/v1/audio-analysis/2JXiyD1zucGdFmnTeYb5Ry,302000,4,August (Acoustic),6uGsmECvPd2VoQI5OfnSPL
Tomboy___Destiny Rogers,0.644,0.645,0,-5.437,0,0.0557,0.423,0.00512,0.116,0.459,77.998,audio_features,5Ti3fqGTfjUsSdylFNy0Ng,spotify:track:5Ti3fqGTfjUsSdylFNy0Ng,https://api.spotify.com/v1/tracks/5Ti3fqGTfjUsSdylFNy0Ng,https://api.spotify.com/v1/audio-analysis/5Ti3fqGTfjUsSdylFNy0Ng,203446,4,Tomboy,2uDZBeyyQ7mfwF9mUJeYUG
High For This___The Weeknd,0.465,0.403,11,-8.895,0,0.0755,0.744,0.000667,0.0777,0.0687,74.95,audio_features,5fohLPNqO6TqwrZ7BoUWUT,spotify:track:5fohLPNqO6TqwrZ7BoUWUT,https://api.spotify.com/v1/tracks/5fohLPNqO6TqwrZ7BoUWUT,https://api.spotify.com/v1/audio-analysis/5fohLPNqO6TqwrZ7BoUWUT,247227,4,Trilogy,5EbpxRwbbpCJUepbqVTZ1U
Dangerous___Madison Beer,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,audio_features,4NOZ35Dhucr6UlVyLOtktd,spotify:track:4NOZ35Dhucr6UlVyLOtktd,https://api.spotify.com/v1/tracks/4NOZ35Dhucr6UlVyLOtktd,https://api.spotify.com/v1/audio-analysis/4NOZ35Dhucr6UlVyLOtktd,246053,4,Not 4 Sale,4mvT7q9PuuBWZcVyUnZP8e
Sure Thing___Miguel,0.753,0.458,4,-12.52,0,0.123,0.0812,0.00413,0.209,0.662,105.057,audio_features,559SdaPI7mqy9IQiscuaMj,spotify:track:559SdaPI7mqy9IQiscuaMj,https://api.spotify.com/v1/tracks/559SdaPI7mqy9IQiscuaMj,https://api.spotify.com/v1/audio-analysis/559SdaPI7mqy9IQiscuaMj,150054,4,Sure Thing (Sped Up),0IrjdFRneYtHj0CwmAphDT
